Date : 2021-06-01 14:47:37
Directory : /Users/paixs/Library/My_Flutter_Project/私密/外包/dianliyunwei
Total : 262 files,  73895 codes, 3294 comments, 3203 blanks, all 80392 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Dart         |        189 |     41,071 |      2,832 |      2,895 |     46,798 |
| JSON         |          9 |     31,355 |          0 |          8 |     31,363 |
| XML          |         25 |        635 |         67 |         23 |        725 |
| Groovy       |          8 |        221 |         19 |         51 |        291 |
| YAML         |          4 |        177 |        190 |         66 |        433 |
| Java         |          3 |        160 |         90 |         54 |        304 |
| Objective-C  |          3 |         91 |         45 |         32 |        168 |
| Markdown     |          8 |         66 |          0 |         39 |        105 |
| Swift        |          4 |         52 |          4 |         13 |         69 |
| HTML         |          1 |         26 |         15 |          5 |         46 |
| Properties   |          4 |         17 |          3 |          4 |         24 |
| C++          |          3 |         12 |         27 |         12 |         51 |
| Shell Script |          1 |         12 |          2 |          1 |         15 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                               |        262 |     73,895 |      3,294 |      3,203 |     80,392 |
| android                                                                                                                                                                         |         15 |        219 |         67 |         40 |        326 |
| android/app                                                                                                                                                                     |         10 |        174 |         65 |         28 |        267 |
| android/app/src                                                                                                                                                                 |          9 |         97 |         53 |         13 |        163 |
| android/app/src/debug                                                                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                                            |          7 |         89 |         47 |         11 |        147 |
| android/app/src/main/java                                                                                                                                                       |          1 |          5 |         14 |          4 |         23 |
| android/app/src/main/java/com                                                                                                                                                   |          1 |          5 |         14 |          4 |         23 |
| android/app/src/main/res                                                                                                                                                        |          5 |         44 |         22 |          6 |         72 |
| android/app/src/main/res/drawable                                                                                                                                               |          1 |          9 |          2 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                                           |          1 |          9 |          2 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/xml                                                                                                                                                    |          1 |          8 |          0 |          0 |          8 |
| android/app/src/profile                                                                                                                                                         |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                                          |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| assets/svg                                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| data                                                                                                                                                                            |          1 |     30,950 |          0 |          0 |     30,950 |
| ios                                                                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios/Runner                                                                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios/Runner/Assets.xcassets                                                                                                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                                   |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                             |         65 |     17,286 |        801 |        894 |     18,981 |
| lib/config                                                                                                                                                                      |          1 |          5 |          0 |          2 |          7 |
| lib/model                                                                                                                                                                       |          2 |        214 |         40 |         14 |        268 |
| lib/page                                                                                                                                                                        |         38 |     11,725 |        284 |        424 |     12,433 |
| lib/page/home                                                                                                                                                                   |         12 |      3,953 |         59 |        135 |      4,147 |
| lib/page/wode                                                                                                                                                                   |         16 |      3,600 |         61 |        148 |      3,809 |
| lib/provider                                                                                                                                                                    |          5 |        279 |         28 |         40 |        347 |
| lib/util                                                                                                                                                                        |          2 |        325 |         22 |         15 |        362 |
| lib/view                                                                                                                                                                        |          1 |        222 |        225 |         15 |        462 |
| lib/widget                                                                                                                                                                      |         15 |      4,119 |        168 |        362 |      4,649 |
| macos                                                                                                                                                                           |          5 |        447 |          4 |         13 |        464 |
| macos/Flutter                                                                                                                                                                   |          1 |         20 |          4 |          5 |         29 |
| macos/Runner                                                                                                                                                                    |          4 |        427 |          0 |          8 |        435 |
| macos/Runner/Assets.xcassets                                                                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                                                                         |          1 |        339 |          0 |          1 |        340 |
| package                                                                                                                                                                         |        163 |     24,630 |      2,321 |      2,192 |     29,143 |
| package/imkit-flutter-quickstart                                                                                                                                                |        118 |     16,555 |      1,748 |      1,589 |     19,892 |
| package/imkit-flutter-quickstart/android                                                                                                                                        |         13 |        334 |        108 |         85 |        527 |
| package/imkit-flutter-quickstart/android/app                                                                                                                                    |          8 |        287 |        107 |         73 |        467 |
| package/imkit-flutter-quickstart/android/app/src                                                                                                                                |          7 |        218 |        100 |         57 |        375 |
| package/imkit-flutter-quickstart/android/app/src/debug                                                                                                                          |          1 |          4 |          3 |          1 |          8 |
| package/imkit-flutter-quickstart/android/app/src/main                                                                                                                           |          5 |        209 |         94 |         55 |        358 |
| package/imkit-flutter-quickstart/android/app/src/main/java                                                                                                                      |          2 |        155 |         76 |         50 |        281 |
| package/imkit-flutter-quickstart/android/app/src/main/java/com                                                                                                                  |          2 |        155 |         76 |         50 |        281 |
| package/imkit-flutter-quickstart/android/app/src/main/java/com/example                                                                                                          |          2 |        155 |         76 |         50 |        281 |
| package/imkit-flutter-quickstart/android/app/src/main/java/com/example/rongcloud_im_plugin_example                                                                              |          2 |        155 |         76 |         50 |        281 |
| package/imkit-flutter-quickstart/android/app/src/main/res                                                                                                                       |          2 |         10 |          9 |          3 |         22 |
| package/imkit-flutter-quickstart/android/app/src/main/res/drawable                                                                                                              |          1 |          4 |          7 |          2 |         13 |
| package/imkit-flutter-quickstart/android/app/src/main/res/values                                                                                                                |          1 |          6 |          2 |          1 |          9 |
| package/imkit-flutter-quickstart/android/app/src/profile                                                                                                                        |          1 |          5 |          3 |          1 |          9 |
| package/imkit-flutter-quickstart/android/gradle                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| package/imkit-flutter-quickstart/android/gradle/wrapper                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| package/imkit-flutter-quickstart/assets                                                                                                                                         |          2 |         24 |          0 |          2 |         26 |
| package/imkit-flutter-quickstart/ios                                                                                                                                            |         11 |        323 |         76 |         50 |        449 |
| package/imkit-flutter-quickstart/ios/Flutter                                                                                                                                    |          1 |         12 |          2 |          1 |         15 |
| package/imkit-flutter-quickstart/ios/Runner                                                                                                                                     |         10 |        311 |         74 |         49 |        434 |
| package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets                                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                  |          1 |        122 |          0 |          1 |        123 |
| package/imkit-flutter-quickstart/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                |          2 |         26 |          0 |          3 |         29 |
| package/imkit-flutter-quickstart/ios/Runner/Base.lproj                                                                                                                          |          2 |         61 |          2 |          2 |         65 |
| package/imkit-flutter-quickstart/lib                                                                                                                                            |         44 |      7,922 |        739 |        818 |      9,479 |
| package/imkit-flutter-quickstart/lib/im                                                                                                                                         |         31 |      6,201 |        679 |        632 |      7,512 |
| package/imkit-flutter-quickstart/lib/im/pages                                                                                                                                   |         15 |      4,301 |        497 |        399 |      5,197 |
| package/imkit-flutter-quickstart/lib/im/pages/item                                                                                                                              |          7 |      2,362 |        189 |        176 |      2,727 |
| package/imkit-flutter-quickstart/lib/im/pages/sight                                                                                                                             |          4 |        610 |         26 |         84 |        720 |
| package/imkit-flutter-quickstart/lib/im/util                                                                                                                                    |         14 |      1,521 |         93 |        168 |      1,782 |
| package/imkit-flutter-quickstart/lib/im/util/bloc                                                                                                                               |          2 |         52 |          2 |         14 |         68 |
| package/imkit-flutter-quickstart/lib/im/widget                                                                                                                                  |          2 |        379 |         89 |         65 |        533 |
| package/imkit-flutter-quickstart/lib/im/widget/cachImage                                                                                                                        |          2 |        379 |         89 |         65 |        533 |
| package/imkit-flutter-quickstart/lib/other                                                                                                                                      |          9 |      1,479 |         44 |        142 |      1,665 |
| package/imkit-flutter-quickstart/package                                                                                                                                        |         45 |      7,868 |        771 |        602 |      9,241 |
| package/imkit-flutter-quickstart/package/paixs_utils                                                                                                                            |         45 |      7,868 |        771 |        602 |      9,241 |
| package/imkit-flutter-quickstart/package/paixs_utils/assets                                                                                                                     |          3 |          9 |          0 |          1 |         10 |
| package/imkit-flutter-quickstart/package/paixs_utils/assets/svg                                                                                                                 |          3 |          9 |          0 |          1 |         10 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib                                                                                                                        |         39 |      7,815 |        736 |        586 |      9,137 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib/config                                                                                                                 |          4 |        194 |         51 |         39 |        284 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib/config/net                                                                                                             |          3 |        131 |         38 |         28 |        197 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib/model                                                                                                                  |          1 |        116 |         24 |         19 |        159 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib/util                                                                                                                   |          3 |        454 |         70 |         47 |        571 |
| package/imkit-flutter-quickstart/package/paixs_utils/lib/widget                                                                                                                 |         30 |      7,051 |        561 |        478 |      8,090 |
